##################################################################################
## Machine-generated calibration file for WSD Daughtercard
##   (because I dont hate myself)
##
## Date:	January 08, 2014:  8:08PM
## Serial:	0x00010
## Version:	3
## Created By: WARPLab based RF-Loopback BB Calibration
##################################################################################

##################################################################################
@@BAND 00
##################################################################################
@@TX_LOFT ############################################
# Gain, TX_I, TX_Q
00, 0x9F, 0x95# MP={0.12, 0.10}
01, 0x9E, 0x95# MP={0.13, 0.30}
02, 0x9E, 0x95# MP={0.13, 0.30}
03, 0x9C, 0x95# MP={0.11, 0.30}
04, 0x9C, 0x96# MP={0.14, 0.40}
05, 0x9C, 0x96# MP={0.12, 0.60}
06, 0x9B, 0x96# MP={0.12, 0.30}
07, 0x9C, 0x96# MP={0.12, 0.60}
08, 0x9B, 0x96# MP={0.12, 0.50}
09, 0x9B, 0x96# MP={0.13, 0.40}
10, 0x9B, 0x96# MP={0.12, 0.50}
11, 0x9A, 0x96# MP={0.13, 0.50}
12, 0x9A, 0x96# MP={0.13, 0.50}
13, 0x9A, 0x96# MP={0.13, 0.50}
14, 0x9B, 0x96# MP={0.12, 0.50}
15, 0x9A, 0x96# MP={0.12, 0.60}
16, 0x9B, 0x96# MP={0.12, 0.60}
17, 0x9B, 0x96# MP={0.12, 0.60}
18, 0x9B, 0x96# MP={0.12, 0.50}
19, 0x9B, 0x96# MP={0.12, 0.50}
20, 0x9B, 0x97# MP={0.11, 0.70}
21, 0x9B, 0x96# MP={0.12, 0.60}
22, 0x97, 0x96# MP={0.11, 0.60}
23, 0x97, 0x96# MP={0.11, 0.60}
24, 0x97, 0x97# MP={0.11, 0.70}
25, 0x9C, 0x97# MP={0.11, 0.70}

@@TX_IQ_IMBALANCE #####################################
# FREQ_MHz, SIN, COS, GAIN
473, 0x3C2FF887, 0x3F8346B8, 0x3F797C6D # MP={0.11, 0.60}
485, 0x3C4D4C44, 0x3F83460E, 0x3F797DB1 # MP={0.11, 0.70}
497, 0x3C4D4C44, 0x3F83460E, 0x3F797DB1 # MP={0.11, 0.70}
509, 0x3C6A9FD9, 0x3F834549, 0x3F797F26 # MP={0.11, 0.80}
521, 0x3C83F99F, 0x3F83446B, 0x3F7980CE # MP={0.11, 0.90}
533, 0x3C83F99F, 0x3F83446B, 0x3F7980CE # MP={0.11, 0.90}
545, 0x3C92F9C1, 0x3F8390E8, 0x3F78EFAC # MP={0.12, 1.00}
557, 0x3C92A338, 0x3F834372, 0x3F7982A7 # MP={0.11, 1.00}
569, 0x3CA1ABE4, 0x3F838FD5, 0x3F78F1B6 # MP={0.12, 1.10}
581, 0x3C6A9FD9, 0x3F834549, 0x3F797F26 # MP={0.11, 0.80}
593, 0x3C83F99F, 0x3F83446B, 0x3F7980CE # MP={0.11, 0.90}
605, 0x3C92A338, 0x3F834372, 0x3F7982A7 # MP={0.11, 1.00}
617, 0x3CAFF60E, 0x3F834131, 0x3F7986F0 # MP={0.11, 1.20}
629, 0x3CAFF60E, 0x3F834131, 0x3F7986F0 # MP={0.11, 1.20}
641, 0x3CBF0FC5, 0x3F838D5E, 0x3F78F660 # MP={0.12, 1.30}
653, 0x3CCDC17D, 0x3F838BFC, 0x3F78F8FF # MP={0.12, 1.40}
665, 0x3CEB2471, 0x3F8388E8, 0x3F78BB5A # MP={0.12, 1.60}
677, 0x3D129D80, 0x3F833417, 0x3F770739 # MP={0.11, 2.00}
689, 0x3D19F15B, 0x3F8331FE, 0x3F769A22 # MP={0.11, 2.10}
701, 0x3D214517, 0x3F832FCA, 0x3F762D6D # MP={0.11, 2.20}
713, 0x3D214517, 0x3F832FCA, 0x3F762D6D # MP={0.11, 2.20}
725, 0x3D214517, 0x3F832FCA, 0x3F762D6D # MP={0.11, 2.20}
737, 0x3D214517, 0x3F832FCA, 0x3F762D6D # MP={0.11, 2.20}
749, 0x3D214517, 0x3F832FCA, 0x3F762D6D # MP={0.11, 2.20}
761, 0x3D19F15B, 0x3F8331FE, 0x3F769A22 # MP={0.11, 2.10}
773, 0x3D19F15B, 0x3F8331FE, 0x3F769A22 # MP={0.11, 2.10}

@@RX_IQ_IMBALANCE #####################################
